"Idempresa";"Idalimentador";"Nombre";"Idelemento";"Idbarramt";"Subestacion";"Tipoalimentador";"Canttrafos";"Kva";"Potenciaequivalente";"Kmmt";"Densidad";"Cantusubt";"Cantusumt"
"E";"001 JAMAICA";"001 JAMAICA";"S1K103";"1";"ET CATRIEL";"U";"88";"8887";"0";"42.37";"209.75";"2833";"0"
"E";"001 PILCA";"001 PILCA";"S6F501";"1";"IJ";"R";"40";"1081";"0";"122.16";"8.85";"422";"16"
"E";"001 PUEBLO";"001 PUEBLO";"S4I053";"1";"GC";"R";"291";"10103";"13";"167.57";"60.37";"5024";"1"
"E";"002 CENTRO";"002 CENTRO";"S1K112";"1";"ET CATRIEL";"U";"28";"6023";"132";"8.75";"703.43";"2387";"1"
"E";"002 PUENTE";"002 PUENTE";"S4I052";"1";"GC";"R";"70";"3869";"67";"60.26";"65.32";"1902";"3"
"E";"003 PEÑAS BLANCAS-VALLE VERDE";"003 PEÑAS BLANCAS-VALLE VERDE";"S1K072";"1";"ET CATRIEL";"R";"47";"946";"0";"58.92";"16.06";"165";"0"
"E";"003 VILLA LLANQUIN";"003 VILLA LLANQUIN";"S6F100";"1";"IJ";"R";"34";"372";"0";"29.71";"12.52";"153";"0"
"E";"004";"004";"S1K083";"";"";"R";"13";"384";"921";"10.00";"130.50";"28";"1"
"E";"1 CENTRAL CIPOLLETTI";"1 CENTRAL CIPOLLETTI";"S1A100";"1";"CIPO";"U";"128";"13670";"333";"64.83";"216.00";"2250";"2"
"E";"2 CENTRAL CIPOLLETTI";"2 CENTRAL CIPOLLETTI";"S1A204";"1";"CIPO";"U";"49";"8123";"1154";"17.84";"520.01";"2803";"3"
"E";"3 ALTO VALLE";"3 ALTO VALLE";"S1A200";"1";"ET AV";"U";"3";"970";"1890";"4.75";"602.11";"14";"2"
"E";"3 CENTRAL CIPOLLETTI";"3 CENTRAL CIPOLLETTI";"S1A300";"1";"CIPO";"U";"31";"6839";"0";"11.20";"610.63";"1287";"0"
"E";"30";"30";"S3D539";"1";"REGINA";"U";"2";"41";"1773";"5.17";"350.87";"2";"3"
"E";"31";"31";"S3D493";"1";"ET REGINA";"U";"99";"11606";"322";"60.20";"198.14";"1183";"4"
"E";"32";"32";"S3D494";"1";"REG";"U";"108";"9831";"783";"70.22";"151.15";"815";"7"
"E";"33";"33";"S3D495";"1";"REG";"R";"126";"8376";"539";"104.65";"85.19";"1901";"7"
"E";"34";"34";"S3D496";"1";"REG";"U";"99";"9768";"336";"55.30";"182.71";"1805";"3"
"E";"35";"35";"S3D497";"1";"REG";"U";"11";"3293";"82";"4.13";"817.19";"1059";"1"
"E";"36";"36";"S3D498";"1";"REG";"U";"33";"9241";"343";"11.50";"833.39";"4137";"3"
"E";"37";"37";"S3D540";"1";"REG";"U";"55";"14912";"368";"21.43";"713.02";"6670";"6"
"E";"39 CHELFORO";"39 CHELFORO";"S3D488";"1";"REG";"R";"5";"255";"76";"25.77";"12.84";"62";"1"
"E";"4 CENTRAL CIPOLLETTI";"4 CENTRAL CIPOLLETTI";"S1A400";"1";"CIPO";"U";"55";"7165";"130";"29.06";"251.03";"1589";"1"
"E";"40 CHELFORO";"40 CHELFORO";"S3D489";"1";"REG";"R";"19";"1416";"92";"67.71";"22.27";"24";"2"
"E";"41 HUERGO";"41 HUERGO";"S3D499";"1";"41 HUERGO";"U";"57";"5741";"316";"28.05";"215.94";"2541";"3"
"E";"42 HUERGO";"42 HUERGO";"S3D500";"1";"H";"U";"70";"6210";"22";"40.63";"153.38";"939";"2"
"E";"43 HUERGO";"43 HUERGO";"S3D599";"1";"ET HUERGO";"R";"40";"1621";"144";"39.22";"45.00";"177";"2"
"E";"5 ALTO VALLE";"5 ALTO VALLE";"S1A505";"1";"AV";"R";"2";"475";"0";"56.31";"8.44";"27";"4"
"E";"5 ET 4 CIPOLLETTI";"5 ET 4 CIPOLLETTI";"S1A500";"1";"CIPO";"U";"53";"9058";"0";"22.88";"395.89";"3518";"0"
"E";"6 ET4 CIPOLLETTI";"6 ET4 CIPOLLETTI";"S1A650";"1";"ET4 CIPOLLETTI";"U";"21";"7668";"123";"2.56";"3043.36";"4110";"1"
"E";"7 ALTO VALLE";"7 ALTO VALLE";"S1A700";"1";"AV";"U";"21";"4336";"677";"9.67";"518.41";"781";"2"
"E";"8 CENTRAL CIPOLLETTI";"8 CENTRAL CIPOLLETTI";"S1A800";"1";"CIPO";"U";"51";"14474";"170";"22.37";"654.63";"7729";"1"
"E";"ALLEN";"ALLEN";"S2B399";"1";"ALL";"U";"44";"11779";"275";"14.92";"807.91";"3463";"7"
"E";"ALSINA";"ALSINA";"S2C061";"1";"ET ROCA";"U";"50";"12153";"231";"23.31";"531.27";"5969";"5"
"E";"ATENAS";"ATENAS";"S1K109";"1";"ET CATRIEL";"U";"39";"6499";"0";"11.78";"551.70";"3001";"0"
"E";"BARDA";"BARDA";"S1E207";"1";"BARDA";"U";"47";"5081";"157";"26.21";"199.85";"1540";"1"
"E";"BARRIO NORTE";"BARRIO NORTE";"S2B499";"1";"ALL";"U";"38";"6999";"190";"15.88";"452.71";"4177";"2"
"E";"BELISLE - CALDERO";"BELISLE - CALDERO";"S3G556";"1";"CH";"R";"34";"2822";"0";"47.58";"59.31";"625";"0"
"E";"BELTRAN-CHOELE";"BELTRAN-CHOELE";"SWI-18506";"1";"CH";"R";"42";"4447";"19";"53.04";"84.20";"2919";"2"
"E";"BRENTANA";"BRENTANA";"S1A513";"1";"CIPO";"U";"23";"8448";"179";"8.87";"972.60";"4714";"1"
"E";"BRIDAS";"BRIDAS";"S1E203";"1";"CG";"U";"65";"5881";"94";"35.49";"168.36";"1430";"1"
"E";"C.E.B.01";"C.E.B.01";"S6F405-BA";"";"";"R";"0";"0";"14556";"600.00";"24.26";"0";"1"
"E";"CENTENARIO";"CENTENARIO";"S1E209";"1";"CD CINCO SALTOS";"U";"57";"5039";"784";"31.77";"183.29";"857";"5"
"E";"CENTRAL TÈRMICA";"CENTRAL TÈRMICA";"S4V090";"1";"VIE";"R";"124";"11139";"378";"157.84";"72.97";"5472";"1"
"E";"CERRO POLICIA";"CERRO POLICIA";"SCP001";"";"";"R";"6";"165";"0";"2.25";"73.33";"108";"0"
"E";"CHIMPAY";"CHIMPAY";"S3G603";"1";"CH";"U";"4";"765";"0";"3.04";"251.64";"791";"0"
"E";"CHOELE CHOEL";"CHOELE CHOEL";"S3G502";"1";"CH";"U";"53";"4510";"118";"29.57";"156.51";"1988";"3"
"E";"CINCO SALTOS 1";"CINCO SALTOS 1";"S1E210";"1";"CS";"U";"67";"7586";"0";"36.74";"206.48";"3530";"1"
